CityID,Date,TempDay,PressureDay,CloudinessDay,EventsDay,WindinessDay,TempEvening,PressureEvening,WindinessEvening,EventsEvening,WindinessEvening
4853,2022-04-24,+2,746,пасмурно,-,С 5м/с,0,752,-,-,С 5м/с
4853,2022-04-25,+7,758,малооблачно,-,СВ 3м/с,+2,760,-,-,СВ 3м/с
4853,2022-04-26,0,752,пасмурно,-,С 4м/с,0,749,-,-,С 4м/с
4853,2022-04-27,+2,746,ясно,-,С 7м/с,+1,753,-,-,С 7м/с
4853,2022-04-28,+9,757,пасмурно,-,С 4м/с,+1,759,-,-,С 4м/с
4853,2022-04-29,+11,759,ясно,-,СВ 5м/с,+6,761,-,-,СВ 5м/с
4853,2022-04-30,+11,758,ясно,-,С 4м/с,-,-,-,-,-
233979,2016-06-01,+19,755,пасмурно,-,С 3м/с,-,-,-,-,-
233979,2016-06-02,+15,755,пасмурно,-,В 2м/с,+9,756,малооблачно,-,В 2м/с
233979,2016-06-03,+13,757,малооблачно,-,СВ 3м/с,+7,758,малооблачно,-,СВ 3м/с
233979,2016-06-04,+17,755,облачно,-,С 1м/с,+10,756,ясно,-,С 1м/с
233979,2016-06-05,+18,757,ясно,-,СВ 3м/с,+10,758,ясно,-,СВ 3м/с
233979,2016-06-06,+19,759,малооблачно,-,ЮЗ 2м/с,+13,759,ясно,-,ЮЗ 2м/с
233979,2016-06-07,+18,757,ясно,-,ЮВ 5м/с,+10,757,пасмурно,-,ЮВ 5м/с
233979,2016-06-08,+14,759,пасмурно,-,СВ 1м/с,+13,760,пасмурно,-,СВ 1м/с
233979,2016-06-09,+9,761,пасмурно,-,ЮВ 2м/с,+8,761,пасмурно,-,ЮВ 2м/с
233979,2016-06-10,+9,761,пасмурно,-,СВ 1м/с,+9,762,пасмурно,-,СВ 1м/с
233979,2016-06-11,+17,761,ясно,-,В 3м/с,+11,761,малооблачно,-,В 3м/с
233979,2016-06-12,+13,757,пасмурно,-,ЮВ 5м/с,+10,756,малооблачно,-,ЮВ 5м/с
233979,2016-06-13,+14,754,пасмурно,-,ЮВ 4м/с,+13,754,пасмурно,-,ЮВ 4м/с
233979,2016-06-14,+14,752,пасмурно,-,В 2м/с,+11,754,пасмурно,-,В 2м/с
233979,2016-06-15,+12,755,пасмурно,-,Ш,+11,756,пасмурно,-,Ш
233979,2016-06-16,+17,756,пасмурно,-,СВ 1м/с,+11,756,малооблачно,-,СВ 1м/с
233979,2016-06-17,+20,756,малооблачно,-,СВ 3м/с,+13,757,ясно,-,СВ 3м/с
233979,2016-06-18,+23,757,ясно,-,В 4м/с,+14,757,ясно,-,В 4м/с
233979,2016-06-19,+20,752,ясно,-,ЮВ 6м/с,+10,753,малооблачно,-,ЮВ 6м/с
233979,2016-06-20,+24,752,малооблачно,-,Ю 2м/с,+16,755,малооблачно,-,Ю 2м/с
233979,2016-06-21,+25,755,ясно,-,В 3м/с,+16,755,облачно,-,В 3м/с
233979,2016-06-22,+27,753,ясно,-,ЮВ 4м/с,+18,754,ясно,-,ЮВ 4м/с
233979,2016-06-23,+24,752,ясно,-,ЮВ 5м/с,+17,752,ясно,-,ЮВ 5м/с
233979,2016-06-24,+23,753,ясно,-,В 5м/с,+16,754,ясно,-,В 5м/с
233979,2016-06-25,+23,754,ясно,-,ЮВ 4м/с,+15,755,ясно,-,ЮВ 4м/с
233979,2016-06-26,+16,755,пасмурно,-,В 2м/с,+13,754,малооблачно,-,В 2м/с
233979,2016-06-27,+24,752,ясно,-,Ю 2м/с,+18,752,малооблачно,-,Ю 2м/с
233979,2016-06-28,+20,752,пасмурно,гроза,СВ 5м/с,+16,755,пасмурно,-,СВ 5м/с
233979,2016-06-29,+24,753,ясно,-,Ю 1м/с,+16,753,облачно,-,Ю 1м/с
233979,2016-06-30,+23,753,пасмурно,-,Ю 3м/с,+14,754,облачно,-,Ю 3м/с
233927,2020-06-01,+6,759,малооблачно,-,Ю 5м/с,+5,759,ясно,-,Ю 5м/с
233927,2020-06-02,+8,759,малооблачно,-,ЮЗ 3м/с,+6,758,пасмурно,-,ЮЗ 3м/с
233927,2020-06-03,+9,760,малооблачно,-,ЮЗ 5м/с,+9,760,ясно,-,ЮЗ 5м/с
233927,2020-06-04,+11,760,ясно,-,Ю 4м/с,+10,760,ясно,-,Ю 4м/с
233927,2020-06-05,+9,762,пасмурно,-,Ю 4м/с,+7,761,пасмурно,-,Ю 4м/с
233927,2020-06-06,+9,762,пасмурно,-,ЮВ 6м/с,+8,761,пасмурно,-,ЮВ 6м/с
233927,2020-06-07,+9,763,пасмурно,-,Ю 3м/с,+9,763,облачно,-,Ю 3м/с
233927,2020-06-08,+10,763,пасмурно,-,З 2м/с,+11,763,облачно,-,З 2м/с
233927,2020-06-09,+9,760,пасмурно,-,Ю 7м/с,+8,759,пасмурно,-,Ю 7м/с
233927,2020-06-10,+8,754,пасмурно,-,ЮВ 11м/с,+8,754,пасмурно,-,ЮВ 11м/с
233927,2020-06-11,+7,752,пасмурно,-,В 6м/с,+6,753,пасмурно,-,В 6м/с
233927,2020-06-12,+6,755,пасмурно,-,ЮВ 6м/с,+7,756,пасмурно,-,ЮВ 6м/с
233927,2020-06-13,+9,758,пасмурно,-,ЮЗ 2м/с,+9,756,малооблачно,-,ЮЗ 2м/с
233927,2020-06-14,+12,756,малооблачно,-,З 4м/с,+12,756,малооблачно,-,З 4м/с
233927,2020-06-15,+9,758,облачно,-,Ю 3м/с,+9,758,ясно,-,Ю 3м/с
233927,2020-06-16,+13,758,ясно,-,ЮВ 7м/с,+10,760,ясно,-,ЮВ 7м/с
233927,2020-06-18,+8,764,пасмурно,-,Ю 3м/с,+9,763,пасмурно,-,Ю 3м/с
233927,2020-06-19,+11,764,малооблачно,-,ЮЗ 4м/с,+9,763,пасмурно,-,ЮЗ 4м/с
233927,2020-06-20,+9,763,пасмурно,-,Ю 2м/с,+9,764,пасмурно,-,Ю 2м/с
233927,2020-06-21,+10,767,пасмурно,-,ЮЗ 1м/с,+11,765,облачно,-,ЮЗ 1м/с
233927,2020-06-22,+12,764,малооблачно,-,ЮЗ 5м/с,+10,763,малооблачно,-,ЮЗ 5м/с
233927,2020-06-23,+8,766,пасмурно,-,ЮЗ 3м/с,+8,766,пасмурно,-,ЮЗ 3м/с
233927,2020-06-24,+7,764,пасмурно,-,ЮЗ 4м/с,+7,763,пасмурно,-,ЮЗ 4м/с
233927,2020-06-25,+7,762,пасмурно,-,ЮЗ 3м/с,+7,761,пасмурно,-,ЮЗ 3м/с
233927,2020-06-26,+9,760,малооблачно,-,ЮЗ 2м/с,+7,759,пасмурно,-,ЮЗ 2м/с
233927,2020-06-27,+10,759,пасмурно,-,ЮЗ 3м/с,+10,758,малооблачно,-,ЮЗ 3м/с
233927,2020-06-28,+8,758,пасмурно,-,ЮЗ 3м/с,+10,758,ясно,-,ЮЗ 3м/с
233927,2020-06-29,+9,758,пасмурно,-,ЮЗ 3м/с,+8,757,-,-,ЮЗ 3м/с
233927,2020-06-30,+9,754,пасмурно,-,Ю 1м/с,+10,757,пасмурно,-,Ю 1м/с
